ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1,MLG2,MLG3
B1B840051,22647.0,7330.0,22647.0,7330.0,88428.24564994883,36278.38175675675,92097.0,92097.0,30814.390934844192,157435.89814814815,154885.0,158396.99654112224,154879.0,154879.0,153249.0,29775.0,154885.0,13895.0,154167.22741433023,143301.7200854701,154169.55763239876,143301.7200854701,11236.0,154885.0,,,
B1B840052,409.0,409.0,409.0,409.0,285.50460593654043,603.8277027027027,409.0,409.0,223.61756373937678,450.6574074074074,409.0,418.2740199846272,409.0,409.0,409.0,409.0,409.0,409.0,953.0591900311528,378.4123931623932,953.0591900311528,378.4123931623932,409.0,409.0,,,
B1B840053,21681.0,7037.0,21681.0,7037.0,90392.57318321393,36087.93243243243,97864.0,97865.0,33085.55807365439,158170.83333333334,153580.0,157062.40584166028,153773.0,153773.0,154657.0,149905.0,153580.0,17210.0,150135.95015576325,142094.31623931625,150140.61059190033,142094.31623931625,18776.0,153580.0,,,
B1B840054,22339.0,6805.0,22339.0,6805.0,91155.54759467758,36576.60472972973,96756.0,96759.0,32031.43909348442,157877.74074074073,153807.0,157294.55303612608,154087.0,154087.0,153430.0,153430.0,153807.0,19253.0,149891.277258567,142304.33974358975,149888.94704049846,142304.33974358975,17931.0,153807.0,,,
B1B840055,22138.0,6904.0,22138.0,6904.0,89332.9252814739,36359.58108108108,93878.0,93878.0,32601.14447592068,158012.16666666666,154475.0,157977.69984627212,0.0,0.0,0.0,0.0,154475.0,154475.0,151736.80996884737,142922.3824786325,151736.80996884737,142922.3824786325,154475.0,154475.0,,,
B1B840056,22775.0,7095.0,22775.0,7095.0,91172.99897645855,37258.67905405405,97437.0,97443.0,33130.390934844196,156843.10185185185,154720.0,158228.2551883167,0.0,0.0,0.0,0.0,154720.0,154720.0,151753.12149532713,143149.05982905984,151750.79127725857,143149.05982905984,154720.0,154720.0,,,
B1B840057,3597.0,3597.0,3597.0,3597.0,2510.9048106448313,5310.435810810811,3597.0,3597.0,1966.6317280453256,3963.3611111111113,3597.0,3678.561491160646,3180.0,3180.0,3180.0,3180.0,3597.0,3597.0,8381.794392523365,3327.99358974359,8381.794392523365,3327.99358974359,3597.0,3597.0,,,
B1B840058,23432.0,7966.0,23432.0,7966.0,92330.37461617196,38427.94932432433,94164.0,94164.0,30501.654390934844,156572.0462962963,154606.0,158111.67025365104,0.0,0.0,0.0,0.0,154606.0,154606.0,155129.60747663555,143043.58547008547,155129.60747663555,143043.58547008547,154606.0,154606.0,,,
B1B850059,20837.0,8260.0,20837.0,8260.0,78117.9692937564,35036.770270270266,90549.0,90549.0,27647.113314447593,132696.0185185185,158260.0,161848.52421214452,158526.0,105626.0,157230.0,90135.0,158260.0,158260.0,118093.12149532711,146424.31623931625,118093.12149532711,146424.31623931625,158260.0,158260.0,,,
B1B850060,22785.0,10354.0,22785.0,10354.0,97481.32446264074,38956.48310810811,102657.0,102657.0,36885.963172804535,176686.35185185185,160354.0,163990.00538047656,160132.0,156055.0,162985.0,141277.0,160354.0,160354.0,156506.7663551402,148361.7136752137,156506.7663551402,148361.7136752137,160354.0,160354.0,,,
B1B850061,20724.0,7186.0,20737.0,7186.0,80275.65813715456,35343.85135135135,94696.0,94700.0,24593.55807365439,132465.7314814815,156820.0,160375.87240584168,158674.0,84186.0,158766.0,8766.0,156820.0,156820.0,121544.17445482868,145092.00854700856,121544.17445482868,145092.00854700856,156820.0,156820.0,,,
B1B850062,21786.0,8357.0,21786.0,8357.0,86803.87103377687,36090.88513513513,95985.0,95985.0,30829.15297450425,158699.72222222222,154904.0,158416.4273635665,154038.0,27720.0,154100.0,154100.0,154904.0,154904.0,154199.85046728974,143319.29914529916,154199.85046728974,143319.29914529916,154904.0,154904.0,,,
B1B850063,300.0,300.0,300.0,300.0,209.41658137154556,442.9054054054054,300.0,300.0,164.02266288951841,330.55555555555554,300.0,306.80245964642586,299.0,299.0,299.0,299.0,300.0,300.0,699.0654205607477,277.5641025641026,699.0654205607477,277.5641025641026,300.0,300.0,,,
B1B850064,20052.0,8957.0,20060.0,8957.0,76624.13101330605,35618.4527027027,94357.0,94357.0,26561.83002832861,130794.22222222222,158957.0,162561.3285933897,159293.0,90658.0,156514.0,14303.0,158957.0,158957.0,121241.24610591901,147069.1901709402,121241.24610591901,147069.1901709402,158957.0,158957.0,,,
