ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1LH,MLG2LH,MLG3LH
B1B840051,23114.0,7395.0,23114.0,7395.0,87189.89559877176,37012.12837837838,97839.0,97839.0,28674.441926345607,147926.91666666666,207808.0,585923.1560338202,1367880.0,136250.0,219134.0,26800.0,188845.0,11146.364511691885,154251.11526479753,566807.1773504274,154253.44548286605,566807.1773504274,9103.628610729023,188845.0,,,
B1B840052,409.0,409.0,409.0,409.0,285.50460593654043,603.8277027027027,409.0,409.0,223.61756373937678,450.6574074074074,409.0,418.2740199846272,409.0,409.0,409.0,409.0,409.0,353.86657496561213,953.0591900311528,378.4123931623932,953.0591900311528,378.4123931623932,353.86657496561213,409.0,,,
B1B840053,22156.0,7137.0,22156.0,7137.0,89222.63254861823,36910.26013513513,104075.0,104077.0,30515.869688385268,147861.90740740742,211328.0,602126.4166026134,1471475.0,142402.0,1427426.0,131663.0,188817.0,13562.866574965614,150191.87538940812,657439.2585470086,150198.86604361373,657439.2585470086,14768.0894085282,188817.0,,,
B1B840054,22824.0,6904.0,22824.0,6904.0,90569.18116683727,37397.45608108108,102880.0,102883.0,29791.98300283286,147584.24074074073,209699.0,601769.5030745581,1324049.0,140641.0,1385761.0,139548.0,188318.0,15156.563961485559,149928.56074766358,609963.7692307692,149926.23052959502,609963.7692307692,14140.819807427786,188318.0,,,
B1B840055,22603.0,6969.0,22603.0,6969.0,88693.50665301946,37165.66891891892,99769.0,99769.0,30351.30028328612,147730.78703703705,207508.0,583443.1694850116,0.0,0.0,0.0,0.0,189091.0,217315.60660247595,151783.41433021807,500374.0598290599,151781.08411214955,500374.0598290599,216560.28748280607,189091.0,,,
B1B840056,23249.0,7163.0,23249.0,7163.0,89998.17195496419,38076.5777027027,103540.0,103546.0,30858.130311614732,147380.39814814815,207296.0,601313.3900845504,0.0,0.0,0.0,0.0,187641.0,219488.12242090786,151783.41433021807,599039.7713675214,151781.08411214955,599039.7713675214,219892.1705639615,187641.0,,,
B1B840057,3597.0,3597.0,3597.0,3597.0,2510.9048106448313,5310.435810810811,3597.0,3597.0,1966.6317280453256,3963.3611111111113,3597.0,3678.561491160646,3180.0,3180.0,3180.0,3180.0,3597.0,3112.1224209078405,8381.794392523365,3327.99358974359,8381.794392523365,3327.99358974359,3112.1224209078405,3597.0,,,
B1B840058,23925.0,8077.0,23925.0,8077.0,91646.28045035824,39236.98986486487,100073.0,100073.0,28376.467422096317,147125.87037037036,209772.0,580653.31245196,0.0,0.0,0.0,0.0,188847.0,217828.66987620358,155250.7788161994,414291.2542735043,155250.7788161994,414291.2542735043,217861.54745529575,188847.0,,,
B1B850059,21712.0,8323.0,21712.0,8323.0,80326.61617195497,36656.3277027027,101361.0,101361.0,26887.14164305949,131834.37037037036,166216.0,452314.7755572637,1086615.0,84883.0,1054271.0,90426.0,145741.0,183441.31774415408,125265.53271028039,436512.1111111111,125263.20249221186,436512.1111111111,187043.14305364512,147193.0,,,
B1B850060,22074.0,10621.0,22074.0,10621.0,92087.45138178096,37421.0777027027,94408.0,94408.0,34819.82436260623,181021.03703703705,364356.0,1142154.9926979248,3881370.0,142568.0,3859644.0,134415.0,464690.0,312484.08528198075,141469.86915887852,807376.6111111111,141469.86915887852,807376.6111111111,299661.82943603856,472612.0,,,
B1B850061,21615.0,7216.0,21629.0,7216.0,82762.13101330605,37308.875,105854.0,105859.0,23423.52974504249,131692.2314814815,168864.0,454999.2970791699,1076942.0,80742.0,1112675.0,75608.0,143730.0,192681.6478679505,127472.24922118381,517595.9871794872,127472.24922118381,517595.9871794872,190179.4910591472,144604.0,,,
B1B850062,22231.0,8458.0,22231.0,8458.0,86181.20573183215,36842.34797297297,101979.0,101979.0,28689.7507082153,148388.59259259258,207181.0,581700.5315142198,211099.0,25357.0,1417609.0,135995.0,189080.0,219129.92984869328,154283.73831775703,436562.0726495727,154283.73831775703,436562.0726495727,215132.7083906465,189080.0,,,
B1B850063,300.0,300.0,300.0,300.0,209.41658137154556,442.9054054054054,300.0,300.0,164.02266288951841,330.55555555555554,300.0,306.80245964642586,299.0,299.0,299.0,299.0,300.0,259.5598349381018,699.0654205607477,277.5641025641026,699.0654205607477,277.5641025641026,259.5598349381018,300.0,,,
B1B850064,20698.0,9346.0,20707.0,9346.0,78841.15455475947,37425.50675675675,105223.0,105223.0,25673.920679886684,129912.74074074074,165014.0,447424.3443504996,1123884.0,103630.0,164837.0,14347.0,143520.0,186163.23521320496,126202.28037383179,291856.80341880344,126202.28037383179,291856.80341880344,186004.90371389274,142911.0,,,
B1B850065,23287.0,7857.0,23287.0,7857.0,85407.76049129991,36774.435810810806,104094.0,104095.0,29200.40793201133,147254.78703703705,206290.0,585791.2309761723,0.0,0.0,0.0,0.0,187667.0,218539.863823934,147335.0280373832,527283.8995726496,147335.0280373832,527283.8995726496,219751.14305364512,187667.0,,,
B1B850066,22090.0,9497.0,21922.0,7538.0,89589.80962128966,41128.19594594595,106427.0,106432.0,30032.54957507082,149705.30555555556,209218.0,589472.8604919293,1457413.0,105401.0,1372862.0,110503.0,189225.0,222377.02338376892,144266.1308411215,588301.7414529915,144580.71028037384,706321.9978632479,223873.818431912,190882.0,,,
B1B850067,22649.0,7633.0,22649.0,7633.0,88195.79324462642,35690.79391891892,103394.0,103397.0,30039.657223796035,147318.69444444444,215456.0,600906.3654880861,1398441.0,143953.0,1363374.0,146052.0,188688.0,227055.15680880332,154344.32398753896,583240.8226495726,0.0,0.0,227454.0137551582,188688.0,,,
B1B850068,14620.0,5932.0,14621.0,5932.0,36635.33674513818,28968.966216216217,73858.0,73858.0,9914.076487252125,42646.07407407407,36197.0,93626.90661029977,206970.0,28009.0,200893.0,29417.0,29274.0,45370.193947730404,52767.788161993776,46973.0982905983,52767.788161993776,46973.0982905983,45156.489683631364,29270.0,,,
B1B850069,21857.0,10501.0,21868.0,10501.0,89718.9498464688,37902.36824324324,94616.0,94616.0,34351.26628895184,180886.61111111112,361582.0,1108205.2551883168,0.0,0.0,0.0,0.0,464992.0,316371.42640990374,139344.71028037384,732575.8611111111,139344.71028037384,732575.8611111111,311824.803301238,468719.0,,,
B1B850070,22835.0,8377.0,22835.0,8377.0,87367.89969293757,37444.69932432433,102258.0,102258.0,28816.594900849857,146786.5,209371.0,584835.0299769408,1489537.0,136947.0,1406885.0,134899.0,188451.0,217800.9834938102,154542.3925233645,525255.8311965812,154542.3925233645,525255.8311965812,219355.7469050894,188451.0,,,
B1B850071,22563.0,8172.0,22563.0,8172.0,87003.51484135108,37084.46959459459,101441.0,101441.0,30520.24362606232,147823.34259259258,210535.0,585863.8408916219,1389790.0,136447.0,1441905.0,137567.0,188350.0,218447.28748280607,153174.55451713398,559744.0961538461,153174.55451713398,559744.0961538461,220059.1540577717,188350.0,,,
B1B850072,21183.0,10113.0,21185.0,10113.0,92950.24769703174,39149.88513513513,93114.0,93114.0,30333.804532577902,180689.37962962964,370539.0,1138761.7574942354,3790053.0,138209.0,3844011.0,137885.0,469368.0,311460.55433287483,146668.58566978195,781892.5256410256,146668.58566978195,781892.5256410256,302732.42228335625,468457.0,,,
B1B850073,20556.0,10244.0,20561.0,10244.0,87489.36131013307,42893.91216216216,104513.0,104513.0,21904.13314447592,134309.12962962964,164951.0,459457.1368178325,162959.0,10259.0,1125139.0,94261.0,146267.0,188404.96698762037,114432.34890965733,511542.3141025641,114432.34890965733,511542.3141025641,179281.43878954608,146647.0,,,
B1B850074,22556.0,9161.0,22556.0,9161.0,87781.14841351076,38983.05743243243,105425.0,105425.0,22851.090651558072,145797.03703703705,203290.0,585128.5376633359,1358769.0,94791.0,1140500.0,69134.0,185883.0,219012.26272352133,134775.1526479751,534194.3205128205,134775.1526479751,534194.3205128205,219823.8198074278,185883.0,,,
B1B850075,16261.0,7062.0,16276.0,7062.0,39153.920163766634,31458.094594594593,79801.0,79801.0,10580.00849858357,44514.81481481482,38473.0,97698.17524980784,205780.0,27656.0,200710.0,26589.0,31125.0,49779.25034387896,55936.8847352025,109420.39529914531,55936.8847352025,109420.39529914531,49459.1265474553,31188.0,,,
B1B850076,557.0,557.0,557.0,557.0,388.8167860798363,822.3277027027027,557.0,557.0,304.5354107648725,613.7314814814815,557.0,569.629900076864,556.0,556.0,556.0,556.0,557.0,481.9160935350757,1297.931464174455,515.3440170940171,1297.931464174455,515.3440170940171,481.9160935350757,557.0,,,
B1B850077,23218.0,12595.0,23221.0,12595.0,89614.24155578301,41481.04391891892,107820.0,107820.0,23973.00566572238,149435.35185185185,210202.0,589729.5518831669,1356863.0,133487.0,1376539.0,120137.0,181448.0,226488.45116918845,127917.32087227415,564659.7564102565,127917.32087227415,564659.7564102565,228109.83493810182,189450.0,,,
B1B850078,2887.0,2887.0,2887.0,2887.0,2015.2855680655068,4262.226351351352,2887.0,2887.0,1578.4447592067988,3181.0462962962965,2887.0,2952.462336664105,3456.0,3456.0,3089.0,3089.0,2887.0,2497.830811554333,6727.339563862929,2671.0918803418804,6727.339563862929,2671.0918803418804,2497.830811554333,2887.0,,,
B1B850079,23573.0,12418.0,23577.0,12418.0,90093.80552712386,38371.84797297297,95018.0,95019.0,32259.43059490085,182043.55555555556,365470.0,1144738.2694081478,3872476.0,140467.0,3695693.0,117350.0,469212.0,317614.71801925724,143308.4112149533,869105.9423076924,143308.4112149533,869105.9423076924,303229.91196698765,471687.0,,,
B1B850080,19800.0,9996.0,19850.0,9996.0,89709.8751279427,43282.19256756757,108859.0,108859.0,25289.014164305947,146922.02777777778,201555.0,588555.5211375866,1402979.0,96762.0,1402167.0,97662.0,188635.0,220957.2310866575,132500.85981308413,606841.1730769231,132500.85981308413,606841.1730769231,220008.97248968366,188569.0,,,
